"stop,name_tc,name_en"
"001322,""山翠苑, 大潭道"",""Shan Tsui Court, Tai Tam Road"""
"001323,電照街,Tin Chiu Street"
"001324,""百福道, 天后廟道"",""Pak Fuk Road, Tin Hau Temple Road"""
"001325,""雲峰大廈, 天后廟道"",""Summit Court, Tin Hau Temple Road"""
"001326,""珊瑚閣, 天后廟道"",""Coral Court, Tin Hau Temple Road"""
"001327,""衡峰閣, 天后廟道"",""Hacienda, Tin Hau Temple Road"""
"001328,""衡峰閣, 天后廟道"",""Hacienda, Tin Hau Temple Road"""
"001329,""珊瑚閣, 天后廟道"",""Coral Court, Tin Hau Temple Road"""
"001330,""雲峰大廈, 天后廟道"",""Summit Court, Tin Hau Temple Road"""
"001331,""百福道, 天后廟道"",""Pak Fuk Road, Tin Hau Temple Road"""
"001332,""書局街, 七姊妹道"",""Shu Kuk Street, Tsat Tsz Mui Road"""
"001333,""皇仁書院, 銅鑼灣道"",""Queen's College, Tung Lo Wan Road"""
"001334,""中華游樂會, 銅鑼灣道"",""Chinese Recreation Club, Tung Lo Wan Road"""
"001335,""銅鑼灣避風塘, 維園道"",""Causeway Bay Typhoon Shelter, Victoria Park Road"""
"001336,""興華邨興翠樓, 環翠道"",""Hing Tsui House Hing Wah Estate, Wan Tsui Road"""
"001337,""興華邨卓華樓, 環翠道"",""Cheuk Wah House Hing Wah Estate, Wan Tsui Road"""
"001338,""青年廣場, 環翠道"",""Youth Square, Wan Tsui Road"""
"001339,""環翠邨澤翠樓, 環翠道"",""Chak Tsui House Wan Tsui Estate, Wan Tsui Road"""
"001340,""興華邨卓華樓, 環翠道"",""Cheuk Wah House Hing Wah Estate, Wan Tsui Road"""
"001341,""興華邨豐興樓, 環翠道"",""Fung Hing House Hing Wah Estate, Wan Tsui Road"""
"001342,銅鑼灣 (威非路道),Causeway Bay (Whitfield Road)"
"001343,""柴灣工業城, 永泰道"",""Chai Wan Industrial City, Wing Tai Road"""
"001344,""翠灣邨, 永泰道"",""Tsui Wan Estate, Wing Tai Road"""
"001346,怡景道,Yee King Road"
"001347,""北角官立小學雲景道, 怡景道"",""North Point Government Primary School (Cloud View Road), Yee King Road"""
"001348,""北角官立小學雲景道, 怡景道"",""North Point Government Primary School (Cloud View Road), Yee King Road"""
"001349,怡景道,Yee King Road"
"001350,""東熹苑, 耀興道"",""Tung Hei Court, Yiu Hing Road"""
"001351,""東熹苑逸熹閣, 耀興道"",""Yat Hei House Tung Hei Court, Yiu Hing Road"""
"001352,""耀東邨耀華樓, 耀興道"",""Yiu Wah House Yiu Tung Estate, Yiu Hing Road"""
